source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,pmra,pmdec,j_m,h_m,k_m,ph_qual
604685391882809728,133.27320108658589,11.301774034409839,1.0682651395653544,13.09458,0.968977,-10.575174977118806,1.9883601017726693,14.485,13.809,13.631,AAA
604685628105952512,133.2436766954602,11.31496517664044,0.424161606353506,12.974182,1.2199888,-2.793401242406811,-8.938856066545563,12.935,12.24,12.105,AAA
604686079079126400,133.2771710996937,11.3352756631123,4.611535821231636,11.738188,0.94078636,11.632717496496536,-19.525326440534993,14.67,14.257,14.083,AAA
604687041150244608,133.27609474669111,11.380239114506358,1.803961038319625,12.470754,0.6493492,-9.645625114062682,1.139145533439382,16.021,15.794,15.451,ABU
604687212948944768,133.20586487307955,11.382510774505544,3.8678806242312627,13.284727,1.1754112,-18.18439360092932,-15.301934458876651,17.108,15.775,15.532,UBU
604689308892956416,133.44463634843422,11.391858039446946,1.1175597377427697,11.69268,1.1556196,-11.162656897609352,-2.671287787813964,14.829,14.181,13.986,AAA
604689411972180480,133.38700529477103,11.371492916997834,1.686304815275777,13.4156275,0.86006546,4.745842476942183,-11.195765735039645,16.394,15.889,15.247,BCC
604689961727982336,133.47709414834108,11.375653440289959,1.3349181489927298,13.296101,0.7957535,0.2607228727294721,3.066584063580705,16.032,15.659,15.183,BCU
604691022584872832,133.44686827167598,11.414022144304779,0.8299849195380646,13.988441,0.64443207,-2.287428802464211,0.15755550399879664,16.668,16.486,15.48,BCU
604692366909680512,133.37526068001867,11.388808995952184,0.9213479209230304,13.232855,0.92950153,-1.7611263919470037,4.383505432475825,14.58,13.743,13.541,AAA
604692710507065728,133.3474792373722,11.417958087043777,7.48277310139275,12.083201,1.3251381,-35.89725307440625,-51.12603315108322,15.93,15.625,15.446,ACD
604693977522370304,133.33567326579913,11.482171146271208,2.4883779148464114,12.03642,0.70110226,-24.03826936870758,8.054579114053517,15.978,15.574,14.66,BBB
604694153616062208,133.44021637667134,11.441845178662492,3.165806775849207,11.89303,0.7968235,-7.192020478278245,-7.1426422643422836,16.266,15.773,15.461,UCC
604696730596495744,133.06893593561463,11.32727383578348,1.1786922233481287,9.695972,1.420351,-11.138656421252609,-2.7023164339274683,16.184,15.354,15.445,CUD
604695734164025216,133.4134215236075,11.51018260721571,1.1580159094671614,13.686262,0.8467121,-10.869609673384696,-2.7879555665604814,14.346,13.888,13.673,AAA
604696386999110400,133.09899463584668,11.296698000117587,0.9679368270891053,13.772421,0.718503,2.2871388910364407,-10.61801336643097,16.725,16.652,16.41,BUU
604696524438068864,133.0497525147313,11.304318908182266,1.2425775527310159,13.353491,0.8062191,-10.902659384764085,-14.190110120640092,16.367,15.733,15.613,BUU
604698001906811136,133.0869250988512,11.363148144990319,0.740460336335889,11.053327,1.1519308,-6.673149555660158,5.3221665978596295,15.929,15.474,15.119,ABB
604699445015802624,133.18597873758358,11.43037089031248,1.125665209670883,13.756668,0.74598026,-10.694366980267864,-2.8199446802924397,16.791,16.023,15.249,CDC
604700849470046976,133.00632579631824,11.389579886328747,2.765952747111809,12.94739,0.9258995,-5.999990034077972,-11.843303144818945,15.881,15.273,15.085,AAB
604701128643010816,132.98140766692794,11.402848515506244,1.1546228221033752,13.139835,0.7331486,-11.14021812325821,-3.0011032444345016,15.69,15.191,14.666,ABA
